TYPE,NAME,TITLE
MS22,Ronald Lok Ming Lui,Density-equalizing quasiconformal surface and volmeteric parameterization
MS22,Kristian Sabo,A method for searching for a globally optimal k-partition of higher-dimensional datasets
MS22,Marco Sutti,
MS22,Mei-Heng Yueh,Authalic energy minimization for area-preserving mappings
MS23,Kensuke Aihara,Block cross-interactive residual smoothing for block Lanczos-type iterative solvers
MS23,Benjamin Carrel,Low-rank exponential integrators leveraged by rational Krylov techniques
MS23,Fabio Durastante,"Krylov: better, faster, parallel"
MS23,Amin Faghih,Krylov subspaces and Sobolev functions
MS23,Francesco Hrobat,Lanczos with compression for symmetric Lyapunov equations
MS23,Yuwen Li,Reduced Krylov basis methods
MS23,Stefano Massei,Error formulas for block rational Krylov approximations of matrix functions
MS23,Mariarosa Mazza,Rational approximations of fractional power operators applied to preconditioning
MS23,Stefano Pozza,Krylov subspace methods an the $\star$-algebra
MS23,Michele Rinelli,Krylov techniques for estimating spectral gaps of sparse symmetric matrices
MS23,Igor Simunec,Lanczos with compression for symmetric matrix functions
MS23,Robbe Vermeiren,An inverse eigenvalue problem linked to multiple orthogonal polynomials
MS24,Minnie Catral,Refined inertias of nonnegative patterns with positive off-diagonal entries
MS24,Geir Dahl,Near-derangements and polytopes
MS24,Richard Ellard,Connecting the Hermite-Biehler theorem to the nonnegative inverse eigenvalue problem
MS24,Hitesh Kumar,
MS24,Raphael Loewy,On cones of polynomials preserving nonnegative matrices
MS24,Hermie Monterde,Nonnegativity in quantum walks
MS24,Shivaramakrishna Pragada,
MS24,K. C. Sivakumar,
MS25,Lei Cao,"Pattern avoiding and pattern forcing $(0,1)$-matrices for some permutation patterns"
MS25,Yen-Jen Cheng,On the maximal spectral radius of digraphs with a prescribed number of arcs
MS25,Tian-Xiao He,High-order eulerian numbers and matrices
MS25,Yi-Lin Lee,"Domino tilings, domino shuffling, and the nabla operator"
MS25,Yuan-Hsun Lo,
MS25,Xiao-Nan Lu,Ternary circulant almost orthogonal arrays with (near) D-optimality and good binary sequence pairs
MS25,Soichi Okada,Bounded Littlewood identities for cylindric Schur functions and related combinatorics
MS25,Harry Richman,Principal minors of tree distance matrices
MS25,Lavanya Selvaganesh,Exploring graph characterization via specialized matrices
MS25,Bit-Shun Tam,On the maximal $A_\alpha$-index of graphs with a prescribed number of edges
MS25,Shen-Fu Tsai,Extremal and saturation function of multidimensional 0-1 matrices
MS25,Chi Ho Yuen,The critical groups of hypercubes and beyond
MS26,Hansaka Aluvihare,A low-complexity LSTM network to realize multibeam beamforming
MS26,Natalia Bebiano,
MS26,Paola Boito,Decay bounds for inverses of banded matrices via quasiseparable structure
MS26,Luca Gemignani,On the numerical solution of nonLocal boundary value problems by matrix function computations
MS26,Kshitij Khare,
MS26,Ilias Kotsireas,A low-complexity algorithm to search for Legendre pairs
MS26,Sirani M. Perera,A low-complexity structured neural network approach for dynamical systems
MS26,Erkki Somersalo,Model reduction and matrix compression in dictionary learning applications
MS26,Aaron Welters,
MS27,Jane Breen,
MS27,Fernando De Terán,A linear algebra online course experience at UC3M: development and teaching
MS27,Jephian C.-H. Lin,Engaging students with collaborative tasks in Linear Algebra
MS27,Steve Mackey,Exciting eigenvectors: seeing is believing
MS27,Mike Michailidis,Computational labs to enhance linear algebra intuition
MS27,Rachel Quinlan,Project work in an undergraduate linear algebra course
MS27,Helena Šmigoc,Posing a question
MS27,Sepideh Stewart,Bridging abstract and numerical linear algebra
MS27,Frank Uhlig,
MS28,Muddappa Gowda,Commutativity concepts relative to transformation/matrix groups and semi-FTvN systems
MS28,Juyoung Jeong,
MS28,Michael Orlitzky,Jordan and isometric cone automorphisms in Euclidean Jordan algebras
MS28,David Sossa,
MS29,Athul Augustine,Composition operators and convexity of their Berezin range on functional Hilbert spaces
MS29,Fumio Hiai,Joint concavity/convexity of matrix trace functions for geometric type means
MS29,Jinmi Hwang,Near-order relation of power means
MS29,Masatoshi Ito,The weighted power difference mean and its generalization
MS29,Miran Jeong,New weighted spectral geometric mean and quantum divergence
MS29,Jie Meng,Convergence properties of sequences related to the Ando-Li-Mathias construction and to the weighted Cheap mean
MS29,Hiromichi Ohno,"Generalization of B\""ottcher-Wenzel inequality and its application"
MS29,Takashi Sano,Convex matrix functions
MS29,Yuki Seo,Matrix trace inequalities related to quantum Tsallis relative entropies
MS29,Shuhei Wada,On some multi-variable means of ALM type
MS30,Eunice Y. S. Chan,
MS30,Laureano Gonzalez-Vega,
MS30,Jamie Pommersheim,
MS31,Angelo Galimba,Reversibility problem for real quaternion matrices
MS31,Daryl Granario,Some factorizations in the complex symplectic group
MS31,Jesus Paolo Joven,Product of skew-involutions
MS31,Tejbir Lohan,Product of two involutions in special linear groups
MS31,Eloise Misa,The algebra generated by nilpotent elements in a matrix centralizer
MS31,Jenny Salinasan,The $\phi_S$ polar decomposition when $S$ is skew-symmetric
MS31,Juan Paolo Santos,On commutators of unipotent matrices of index $2$
MS32,Di Hou,
MS32,Xiang Lu,
MS32,Anthony Man-Cho So,
MS32,Chun-Hao Yang,Nested Grassmannians for dimensionality reduction with applications
MS33,Dragana Cvetkovic Ilic,Large similarities between the numerical range of an operator and of certain generalized inverses
MS33,Ryan O'Loughlin,
MS33,Brooke Randell,Exploring the numerical range of block Toeplitz operators
MS33,Jani A. Virtanen,
MS34,Yen-chi Lin,
MS34,Chia-An Liu,
MS34,Akihiro Munemasa,
MS34,Wasin So,Formal orthogonal systems
MS34,Sho Suda,
MS34,Wei-Liang Sun,Power difference sets and cyclotomic matrices
MS34,Pin-Chieh Tseng,
MS35,Daisuke Hirota,Tingley's problem concerning the direct sum of extremely C-regular subspaces with the $\ell^p$-norm.
MS35,Bojan Kuzma,On bijections which strongly preserve Birkhoff-James orthogonality on finite-dimensional $C^*$-algebras
MS35,Izuho Matsuzaki,
MS35,Lucijan Plevnik,Linear preservers of rank one projections
MS35,Manideepa Saha,On linear preservers of semimonotone matrices
MS35,Sushil Singla,Linear maps preserving product of involutions
MS35,Tamas Titkos,Isometries of Lipschitz free Banach spaces
MS35,Ming-Cheng Tsai,
MS35,Ya-Shu Wang,Linear maps preserving disjoint idempotents
MS35,Ngai-Ching Wong,
